time,filt,flux,eflux,mag,emag,upperlimit
58090.55,i,-151.03,83.132,22.0523939498455,-0.598,T
58097.5,i,-41.446,89.746,23.4563454491814,-2.351,T
58097.51,r,74.189,69.139,22.824,1.012,F
58098.52,g,-49.484,64.466,23.2638900102656,-1.414,T
58098.53,r,22.763,63.212,24.107,3.015,F
58099.64,g,-69.57,60.074,22.8939969974389,-0.938,T
58100.64,g,13.249,68.087,24.695,5.58,F
58110.47,g,795.544,43.538,20.248,0.059,F
58110.47,r,767.299,39.353,20.288,0.056,F
58110.63,g,895.025,43.197,20.12,0.052,F
58111.5,g,889.926,35.662,20.127,0.044,F
58111.51,i,741.041,45.364,20.325,0.066,F
58111.61,g,832.842,36.316,20.199,0.047,F
58112.47,g,705.553,47.181,20.379,0.073,F
58112.48,r,843.773,44.593,20.184,0.057,F
58113.46,g,600.382,42.557,20.554,0.077,F
58113.47,i,633.994,40.119,20.495,0.069,F
58113.62,g,575.174,34.704,20.601,0.066,F
58115.48,i,594.355,67.708,20.565,0.124,F
58115.48,g,301.641,80.343,21.301,0.289,F
58115.62,g,279.354,42.536,21.385,0.165,F
58116.47,g,250.426,75.512,21.503,0.327,F
58116.48,r,405.847,85.157,20.979,0.228,F
58116.6,g,281.075,47.056,21.378,0.182,F
58117.46,r,446.026,56.809,20.877,0.138,F
58117.46,i,371.988,57.346,21.074,0.167,F
58117.47,y,539.158,269.281,20.671,0.542,F
58117.47,z,410.474,111.772,20.967,0.296,F
58117.47,z,400.919,98.201,20.992,0.266,F
58117.47,y,-84.902,253.897,22.6777572036997,-3.247,T
58117.63,g,195.468,31.529,21.772,0.175,F
58125.44,z,469.97,89.383,20.82,0.206,F
58125.61,i,310.336,52.226,21.27,0.183,F
58126.42,r,413.359,48.897,20.959,0.128,F
58126.43,i,468.084,79.032,20.824,0.183,F
58126.59,r,357.497,72.08,21.117,0.219,F
58127.43,g,239.111,45.216,21.554,0.205,F
58127.44,r,429.4,46.276,20.918,0.117,F
58127.55,r,468.165,44.951,20.824,0.104,F
58128.43,g,363.732,60.699,21.098,0.181,F
58128.44,i,495.854,57.684,20.762,0.126,F
58129.42,g,-21.349,174.431,24.1766081627762,-8.871,T
58129.6,g,291.435,41.945,21.339,0.156,F
58129.61,r,449.82,51.544,20.867,0.124,F
58130.45,g,174.888,49.83,21.893,0.309,F
58130.46,i,660.041,45.438,20.451,0.075,F
58130.6,g,305.86,53.54,21.286,0.19,F
58131.45,g,357.882,51.611,21.116,0.157,F
58131.46,r,465.52,44.635,20.83,0.104,F
58131.56,g,243.009,53.878,21.536,0.241,F
58132.42,g,397.351,48.913,21.002,0.134,F
58132.43,i,514.182,54.802,20.722,0.116,F
58132.55,g,315.333,32.195,21.253,0.111,F
58133.4,g,289.001,34.191,21.348,0.128,F
58133.41,r,565.639,34.66,20.619,0.067,F
58133.56,g,357.773,32.513,21.116,0.099,F
58134.4,g,294.982,31.731,21.326,0.117,F
58134.41,i,532.606,37.48,20.684,0.076,F
58134.57,g,232.055,49.759,21.586,0.233,F
58135.4,g,339.733,34.544,21.172,0.11,F
58135.41,r,445.566,41.575,20.878,0.101,F
58135.58,g,165.689,85.407,21.952,0.56,F
58136.56,i,463.316,93.85,20.835,0.22,F
58138.55,g,176.393,29.302,21.884,0.18,F
58139.57,r,335.836,50.757,21.185,0.164,F
58140.55,g,160.689,42.302,21.985,0.286,F
58140.56,i,378.797,42.352,21.054,0.121,F
58152.33,i,323.487,73.989,21.225,0.248,F
58152.34,z,282.728,113.323,21.372,0.435,F
58153.34,z,443.165,184.064,20.884,0.451,F
58153.49,i,213.711,1141.472,21.675,5.799,F
58157.36,g,148.239,64.383,22.073,0.472,F
58157.37,r,206.343,60.639,21.714,0.319,F
58158.47,g,151.44,72.851,22.049,0.522,F
58158.48,i,264.934,103.641,21.442,0.425,F
58159.48,g,161.218,58.362,21.981,0.393,F
58159.49,r,-8.678,51.972,25.15400289135,-6.502,T
58160.49,g,-2.353,41.983,26.5709971878929,-19.372,T
58161.33,g,156.365,37.71,22.015,0.262,F
58161.34,r,160.702,35.76,21.985,0.242,F
58161.45,g,-27.108,30.485,23.917308313413,-1.221,T
58162.56,g,83.185,49.14,22.7,0.641,F
58162.57,i,245.862,53.796,21.523,0.238,F
58163.53,r,210.478,131.009,21.692,0.676,F
58167.5,g,67.063,49.243,22.934,0.797,F
58167.51,r,172.037,65.596,21.911,0.414,F
58169.34,g,-4.197,49.389,25.9427045828043,-12.777,T
58169.35,r,115.393,47.309,22.345,0.445,F
58185.24,g,-7.403,41.951,25.3265326323775,-6.153,T
58185.25,r,119.577,43.394,22.306,0.394,F
58185.41,g,49.352,35.479,23.267,0.781,F
